category,filename,reason
HOMBRO,ELEVACIONES LATERALES (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
HOMBRO,FLY PARA POSTERIOR (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
HOMBRO,PRESS MILITAR (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
HOMBRO,PRESS MILITAR (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PECHO,CRUCE EN POLEA ALTA (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PECHO,FLY (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PECHO,HAMMER (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PECHO,PEC DECK (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PECHO,PRESS BANCA (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PECHO,PRESS INCLINADO (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PECHO,PRESS PLANO CERRADO (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PECHO,PRESS PLANO TRICEPS (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PECHO,WhatsApp Image 2026-06-22 at 12.02.50 PM (1).jpeg,"No seleccionada por ser repetición visual, fase secundaria o variante ya cubierta por un ejercicio equivalente."
PIERNA,ADUCTOR (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,ADUCTOR EN POLEA (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,BUENOS DIAS (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,EXTENSION CUADRICEPS (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,FEMORAL DE PIE (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,FEMORAL EN POLEA (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,FEMORAL EN POLEA (3).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,FEMORAL SENTADO (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,FEMORAL TUMBADO MANCUERNA (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,PESO MUERTO (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,PESO MUERTO (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,PRENSA 45#U00b0 (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,SANCADAS (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
PIERNA,SENTADILLA (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
TRICEPS,COPA (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
TRICEPS,EXTENSION TRICEPS (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
TRICEPS,FLEXION PARA TRICEPS (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
TRICEPS,TRAS DE NUCA POLEA (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
TRICEPS,TRICEPS EN INCLINADO (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
