id,name,segment,primaryMuscle,muscleGroups,equipment,movement,imageUrl,sourceCategory,sourceFilename
oblicuos-lenador-con-balon-medicinal,Leñador con Balón Medicinal,core,oblicuos,"oblicuos, abdomen, core, hombro",Balón medicinal,core,/exercises/oblicuos-lenador-con-balon-medicinal.jpg,ABDOMEN,WhatsApp Image 2026-06-22 at 12.57.03 PM.jpeg
biceps-curl-21,Curl 21,superior,bíceps,"bíceps, braquial, antebrazo",Mancuernas o barra,pull,/exercises/biceps-curl-21.jpg,BICEPS,CURL 21.jpg
biceps-curl-agarre-prono,Curl Agarre Prono,superior,bíceps,"bíceps, braquial, antebrazo",Barra,pull,/exercises/biceps-curl-agarre-prono.jpg,BICEPS,CURL AGARRE PRONO.jpg
biceps-curl-banco-inclinado,Curl Banco Inclinado,superior,bíceps,"bíceps, braquial",Banco inclinado / mancuernas,pull,/exercises/biceps-curl-banco-inclinado.jpg,BICEPS,CURL BANCO INCLINADO.jpeg
biceps-curl-biceps-boca-abajo,Curl Bíceps Boca Abajo,superior,bíceps,"bíceps, braquial",Banco inclinado / mancuernas,pull,/exercises/biceps-curl-biceps-boca-abajo.jpg,BICEPS,CURL BICEPS BOCA ABAJO.jpg
biceps-curl-martillo-cerrado-en-inclinado,Curl Martillo Cerrado en Inclinado,superior,bíceps,"bíceps, braquial, antebrazo",Banco inclinado / mancuernas,pull,/exercises/biceps-curl-martillo-cerrado-en-inclinado.jpg,BICEPS,MARTILLO CERRADO EN INCLINADO.jpg
biceps-curl-predicador,Curl Predicador,superior,bíceps,"bíceps, braquial",Banco predicador,pull,/exercises/biceps-curl-predicador.jpg,BICEPS,PREDICADOR.jpg
biceps-curl-alto-en-polea-para-biceps,Curl Alto en Polea para Bíceps,superior,bíceps,"bíceps, braquial",Polea alta,pull,/exercises/biceps-curl-alto-en-polea-para-biceps.jpg,BICEPS,REMO ALTO PARA BICEPS.jpg
biceps-curl-arana-con-mancuerna,Curl Araña con Mancuerna,superior,bíceps,"bíceps, braquial",Banco inclinado / mancuerna,pull,/exercises/biceps-curl-arana-con-mancuerna.jpg,BICEPS,WhatsApp Image 2026-06-22 at 11.41.32 AM (1).jpeg
biceps-curl-alterno-sentado,Curl Alterno Sentado,superior,bíceps,"bíceps, braquial",Banco / mancuernas,pull,/exercises/biceps-curl-alterno-sentado.jpg,BICEPS,WhatsApp Image 2026-06-22 at 11.41.32 AM (2).jpeg
biceps-curl-unilateral-en-polea-baja,Curl Unilateral en Polea Baja,superior,bíceps,"bíceps, braquial",Polea baja,pull,/exercises/biceps-curl-unilateral-en-polea-baja.jpg,BICEPS,WhatsApp Image 2026-06-22 at 11.41.32 AM (3).jpeg
biceps-curl-martillo-de-pie,Curl Martillo de Pie,superior,bíceps,"bíceps, braquial, antebrazo",Mancuernas,pull,/exercises/biceps-curl-martillo-de-pie.jpg,BICEPS,WhatsApp Image 2026-06-22 at 11.41.32 AM (4).jpeg
biceps-curl-en-polea-baja,Curl en Polea Baja,superior,bíceps,"bíceps, braquial",Polea baja,pull,/exercises/biceps-curl-en-polea-baja.jpg,BICEPS,WhatsApp Image 2026-06-22 at 11.41.32 AM.jpeg
biceps-curl-en-maquina-predicador,Curl en Máquina Predicador,superior,bíceps,"bíceps, braquial",Máquina predicador,pull,/exercises/biceps-curl-en-maquina-predicador.jpg,BICEPS,WhatsApp Image 2026-06-22 at 11.41.33 AM (1).jpeg
biceps-curl-con-mancuernas-de-pie,Curl con Mancuernas de Pie,superior,bíceps,"bíceps, braquial",Mancuernas,pull,/exercises/biceps-curl-con-mancuernas-de-pie.jpg,BICEPS,WhatsApp Image 2026-06-22 at 11.41.33 AM.jpeg
cardio-burpees,Burpees,cardio,cardio,"cardio, full body, core",Peso corporal,cardio,/exercises/cardio-burpees.jpg,CARDIO,BURPEES (3).jpg
cardio-saltos-con-cuerda,Saltos con Cuerda,cardio,cardio,"cardio, pantorrilla",Cuerda,cardio,/exercises/cardio-saltos-con-cuerda.jpg,CARDIO,SALTOS.jpg
cardio-skipping,Skipping,cardio,cardio,"cardio, core, pierna",Peso corporal,cardio,/exercises/cardio-skipping.jpg,CARDIO,SKIPPING.jpg
cardio-bicicleta-estatica,Bicicleta Estática,cardio,cardio,"cardio, cuádriceps, glúteo",Bicicleta estática,cardio,/exercises/cardio-bicicleta-estatica.jpg,CARDIO,WhatsApp Image 2026-06-22 at 1.08.27 PM.jpeg
cardio-caminadora,Caminadora,cardio,cardio,"cardio, pierna",Caminadora,cardio,/exercises/cardio-caminadora.jpg,CARDIO,WhatsApp Image 2026-06-22 at 1.08.28 PM.jpeg
cardio-soga-batida,Soga Batida,cardio,cardio,"cardio, hombro, core",Soga de batalla,cardio,/exercises/cardio-soga-batida.jpg,CARDIO,ZOGA BATIDA.jpg
espalda-remo-barra-t-en-maquina,Remo Barra T en Máquina,superior,espalda,"espalda, dorsal, romboides, bíceps",Máquina barra T,pull,/exercises/espalda-remo-barra-t-en-maquina.jpg,ESPALDA,BARRA T.jpg
espalda-remo-barra-t-libre,Remo Barra T Libre,superior,espalda,"espalda, dorsal, romboides, bíceps",Barra T libre,pull,/exercises/espalda-remo-barra-t-libre.jpg,ESPALDA,BARRA T LIBRE.jpg
espalda-dominadas,Dominadas,superior,espalda,"espalda, dorsal, bíceps",Barra fija,pull,/exercises/espalda-dominadas.jpg,ESPALDA,DOMINADAS.jpg
hombro-posterior-fly-posterior-en-maquina,Fly Posterior en Máquina,superior,hombro posterior,"hombro posterior, trapecio, romboides",Máquina peck deck inversa,pull,/exercises/hombro-posterior-fly-posterior-en-maquina.jpg,ESPALDA,FLY POSTERIOR.jpeg
lumbar-hiperextension-lumbar,Hiperextensión Lumbar,core,lumbar,"lumbar, glúteo, femoral",Banco romano,hinge,/exercises/lumbar-hiperextension-lumbar.jpg,ESPALDA,HIPER EXTENSION.jpeg
hombro-posterior-jalon-a-la-cara,Jalón a la Cara,superior,hombro posterior,"hombro posterior, trapecio, romboides",Polea,pull,/exercises/hombro-posterior-jalon-a-la-cara.jpg,ESPALDA,JALON A LA CARA.jpg
espalda-pullover-en-polea,Pullover en Polea,superior,espalda,"dorsal, espalda, core",Polea alta,pull,/exercises/espalda-pullover-en-polea.jpg,ESPALDA,PULL OVER.jpg
espalda-remo-agarre-supino,Remo Agarre Supino,superior,espalda,"espalda, dorsal, bíceps",Barra,pull,/exercises/espalda-remo-agarre-supino.jpg,ESPALDA,REMO AGARRE SUPINO.jpg
espalda-remo-alto-agarre-v,Remo Alto Agarre V,superior,espalda,"espalda, dorsal, romboides",Polea / agarre V,pull,/exercises/espalda-remo-alto-agarre-v.jpg,ESPALDA,REMO ALTO AGARRE V.jpeg
espalda-remo-bajo,Remo Bajo,superior,espalda,"espalda, dorsal, romboides, bíceps",Máquina o polea baja,pull,/exercises/espalda-remo-bajo.jpg,ESPALDA,REMO BAJO.jpg
espalda-remo-con-mancuerna,Remo con Mancuerna,superior,espalda,"espalda, dorsal, romboides, bíceps",Banco / mancuerna,pull,/exercises/espalda-remo-con-mancuerna.jpg,ESPALDA,REMO CON MANCUERNA.jpeg
espalda-remo-en-polea-con-barra,Remo en Polea con Barra,superior,espalda,"espalda, dorsal, romboides",Polea baja / barra,pull,/exercises/espalda-remo-en-polea-con-barra.jpg,ESPALDA,REMO EN POLEA CON BARRA.jpg
espalda-remo-inclinado,Remo Inclinado,superior,espalda,"espalda, dorsal, romboides",Banco inclinado / mancuernas,pull,/exercises/espalda-remo-inclinado.jpg,ESPALDA,REMO INCLINADO.jpeg
espalda-jalon-al-pecho-agarre-ancho,Jalón Al Pecho Agarre Ancho,superior,espalda,"dorsal, espalda, bíceps",Polea alta,pull,/exercises/espalda-jalon-al-pecho-agarre-ancho.jpg,ESPALDA,WhatsApp Image 2026-06-22 at 11.53.23 AM (1).jpeg
espalda-jalon-al-pecho-agarre-cerrado,Jalón Al Pecho Agarre Cerrado,superior,espalda,"dorsal, espalda, bíceps",Polea alta / agarre cerrado,pull,/exercises/espalda-jalon-al-pecho-agarre-cerrado.jpg,ESPALDA,WhatsApp Image 2026-06-22 at 11.53.23 AM.jpeg
espalda-remo-inclinado-con-mancuernas,Remo Inclinado con Mancuernas,superior,espalda,"espalda, dorsal, romboides",Banco inclinado / mancuernas,pull,/exercises/espalda-remo-inclinado-con-mancuernas.jpg,ESPALDA,WhatsApp Image 2026-06-22 at 11.53.24 AM (1).jpeg
espalda-pullover-unilateral-en-polea,Pullover Unilateral en Polea,superior,espalda,"dorsal, espalda, core",Polea,pull,/exercises/espalda-pullover-unilateral-en-polea.jpg,ESPALDA,WhatsApp Image 2026-06-22 at 11.53.24 AM.jpeg
abductor-abduccion-de-cadera-en-polea,Abducción de Cadera en Polea,inferior,abductor,"abductor, glúteo medio",Polea baja,isolation,/exercises/abductor-abduccion-de-cadera-en-polea.jpg,GLUTEO,ABDUCTOR EN POLEA.jpeg
gluteo-sentadilla-bulgara,Sentadilla Búlgara,inferior,glúteo,"glúteo, cuádriceps, femoral",Banco / barra o mancuernas,legs,/exercises/gluteo-sentadilla-bulgara.jpg,GLUTEO,BULGARA.jpeg
gluteo-hip-thrust,Hip Thrust,inferior,glúteo,"glúteo, femoral, core",Banco / barra,hinge,/exercises/gluteo-hip-thrust.jpg,GLUTEO,HIP THRUST.jpeg
gluteo-patada-de-gluteo-en-polea,Patada de Glúteo en Polea,inferior,glúteo,"glúteo, femoral",Polea baja,isolation,/exercises/gluteo-patada-de-gluteo-en-polea.jpg,GLUTEO,PATADA EN POLEA.jpeg
hombro-elevacion-frontal-con-mancuernas,Elevación Frontal con Mancuernas,superior,hombro,"hombro anterior, deltoides",Mancuernas,isolation,/exercises/hombro-elevacion-frontal-con-mancuernas.jpg,HOMBRO,ELEVACION FRONTAL.jpg
hombro-elevacion-frontal-en-inclinado,Elevación Frontal en Inclinado,superior,hombro,"hombro anterior, deltoides",Banco inclinado / mancuernas,isolation,/exercises/hombro-elevacion-frontal-en-inclinado.jpg,HOMBRO,ELEVACION FRONTAL EN INCLINADO.jpg
hombro-elevacion-frontal-en-polea,Elevación Frontal en Polea,superior,hombro,"hombro anterior, deltoides",Polea baja,isolation,/exercises/hombro-elevacion-frontal-en-polea.jpg,HOMBRO,ELEVACION FRONTAL EN POLEA.jpg
hombro-elevacion-lateral-en-inclinado,Elevación Lateral en Inclinado,superior,hombro,"hombro lateral, deltoides",Banco inclinado / mancuerna,isolation,/exercises/hombro-elevacion-lateral-en-inclinado.jpg,HOMBRO,ELEVACION LATERAL EN INCLINADO.jpg
hombro-elevacion-lateral-unilateral,Elevación Lateral Unilateral,superior,hombro,"hombro lateral, deltoides",Mancuerna / banco inclinado,isolation,/exercises/hombro-elevacion-lateral-unilateral.jpg,HOMBRO,ELEVACION UNILATERAL.jpg
hombro-elevaciones-laterales,Elevaciones Laterales,superior,hombro,"hombro lateral, deltoides",Mancuernas,isolation,/exercises/hombro-elevaciones-laterales.jpg,HOMBRO,ELEVACIONES LATERALES.jpeg
hombro-posterior-fly-para-posterior,Fly para Posterior,superior,hombro posterior,"hombro posterior, trapecio, romboides",Polea o máquina,pull,/exercises/hombro-posterior-fly-para-posterior.jpg,HOMBRO,FLY PARA POSTERIOR.jpg
hombro-press-militar-en-maquina,Press Militar en Máquina,superior,hombro,"hombro, tríceps, deltoides",Máquina press hombro,push,/exercises/hombro-press-militar-en-maquina.jpg,HOMBRO,PRESS MILITAR.jpeg
hombro-press-militar-con-mancuernas,Press Militar con Mancuernas,superior,hombro,"hombro, tríceps, deltoides",Banco / mancuernas,push,/exercises/hombro-press-militar-con-mancuernas.jpg,HOMBRO,PRESS MILITAR.jpg
pantorrilla-elevacion-de-talones-en-maquina-de-pie,Elevación de Talones en Máquina de Pie,inferior,pantorrilla,"pantorrilla, gemelos",Máquina de pantorrilla,isolation,/exercises/pantorrilla-elevacion-de-talones-en-maquina-de-pie.jpg,PANTORRILLA,WhatsApp Image 2026-06-22 at 1.03.56 PM (1).jpeg
pantorrilla-elevacion-de-talones-con-mancuernas,Elevación de Talones con Mancuernas,inferior,pantorrilla,"pantorrilla, gemelos",Mancuernas,isolation,/exercises/pantorrilla-elevacion-de-talones-con-mancuernas.jpg,PANTORRILLA,WhatsApp Image 2026-06-22 at 1.03.56 PM (2).jpeg
pantorrilla-elevacion-de-talones-en-step,Elevación de Talones en Step,inferior,pantorrilla,"pantorrilla, gemelos",Step,isolation,/exercises/pantorrilla-elevacion-de-talones-en-step.jpg,PANTORRILLA,WhatsApp Image 2026-06-22 at 1.03.56 PM (3).jpeg
pantorrilla-elevacion-de-talones-sentado-con-barra,Elevación de Talones Sentado con Barra,inferior,pantorrilla,"pantorrilla, sóleo",Banco / barra,isolation,/exercises/pantorrilla-elevacion-de-talones-sentado-con-barra.jpg,PANTORRILLA,WhatsApp Image 2026-06-22 at 1.03.56 PM.jpeg
pantorrilla-elevacion-de-talon-sentado-unilateral,Elevación de Talón Sentado Unilateral,inferior,pantorrilla,"pantorrilla, sóleo",Banco / disco,isolation,/exercises/pantorrilla-elevacion-de-talon-sentado-unilateral.jpg,PANTORRILLA,WhatsApp Image 2026-06-22 at 1.03.57 PM (1).jpeg
pantorrilla-elevacion-de-talones-en-step-con-mancuernas,Elevación de Talones en Step con Mancuernas,inferior,pantorrilla,"pantorrilla, gemelos",Step / mancuernas,isolation,/exercises/pantorrilla-elevacion-de-talones-en-step-con-mancuernas.jpg,PANTORRILLA,WhatsApp Image 2026-06-22 at 1.03.57 PM.jpeg
pecho-apertura-en-plano-con-mancuernas,Apertura en Plano con Mancuernas,superior,pecho,"pecho, hombro anterior",Banco plano / mancuernas,push,/exercises/pecho-apertura-en-plano-con-mancuernas.jpg,PECHO,APERTURA EN PLANO.jpg
pecho-cruce-en-polea-alta,Cruce en Polea Alta,superior,pecho,"pecho, hombro anterior",Poleas altas,push,/exercises/pecho-cruce-en-polea-alta.jpg,PECHO,CRUCE EN POLEA ALTA.jpg
pecho-fly-en-maquina,Fly en Máquina,superior,pecho,"pecho, hombro anterior",Máquina fly,push,/exercises/pecho-fly-en-maquina.jpg,PECHO,FLY.jpg
pecho-press-hammer-de-pecho,Press Hammer de Pecho,superior,pecho,"pecho, tríceps, hombro anterior",Máquina hammer,push,/exercises/pecho-press-hammer-de-pecho.jpg,PECHO,HAMMER.jpg
pecho-pec-deck,Pec Deck,superior,pecho,"pecho, hombro anterior",Máquina pec deck,push,/exercises/pecho-pec-deck.jpg,PECHO,PEC DECK.jpeg
pecho-press-banca-con-mancuernas,Press Banca con Mancuernas,superior,pecho,"pecho, tríceps, hombro anterior",Banco plano / mancuernas,push,/exercises/pecho-press-banca-con-mancuernas.jpg,PECHO,PRESS BANCA.jpeg
pecho-press-inclinado-con-mancuernas,Press Inclinado con Mancuernas,superior,pecho,"pecho superior, tríceps, hombro anterior",Banco inclinado / mancuernas,push,/exercises/pecho-press-inclinado-con-mancuernas.jpg,PECHO,PRESS INCLINADO.jpg
pecho-press-plano-cerrado,Press Plano Cerrado,superior,pecho,"pecho, tríceps, hombro anterior",Banco / mancuernas,push,/exercises/pecho-press-plano-cerrado.jpg,PECHO,PRESS PLANO CERRADO.jpg
triceps-press-plano-para-triceps,Press Plano para Tríceps,superior,tríceps,"tríceps, pecho, hombro anterior",Banco / barra,push,/exercises/triceps-press-plano-para-triceps.jpg,PECHO,PRESS PLANO TRICEPS.jpg
pecho-cruce-en-polea-media,Cruce en Polea Media,superior,pecho,"pecho, hombro anterior",Poleas,push,/exercises/pecho-cruce-en-polea-media.jpg,PECHO,WhatsApp Image 2026-06-22 at 12.02.50 PM (2).jpeg
pecho-cruce-en-polea-baja-unilateral,Cruce en Polea Baja Unilateral,superior,pecho,"pecho superior, hombro anterior",Polea baja,push,/exercises/pecho-cruce-en-polea-baja-unilateral.jpg,PECHO,WhatsApp Image 2026-06-22 at 12.02.50 PM.jpeg
aductor-en-maquina,Aductor en Máquina,inferior,aductor,"aductor, pierna interna",Máquina aductora,isolation,/exercises/aductor-en-maquina.jpg,PIERNA,ADUCTOR.jpeg
aductor-en-polea,Aductor en Polea,inferior,aductor,"aductor, pierna interna",Polea baja,isolation,/exercises/aductor-en-polea.jpg,PIERNA,ADUCTOR EN POLEA.jpeg
femoral-buenos-dias,Buenos Días,inferior,femoral,"femoral, glúteo, lumbar",Barra,hinge,/exercises/femoral-buenos-dias.jpg,PIERNA,BUENOS DIAS.jpg
cuadriceps-extension-de-cuadriceps,Extensión de Cuádriceps,inferior,cuádriceps,cuádriceps,Máquina extensora,isolation,/exercises/cuadriceps-extension-de-cuadriceps.jpg,PIERNA,EXTENSION CUADRICEPS.jpeg
femoral-curl-femoral-de-pie,Curl Femoral de Pie,inferior,femoral,femoral,Máquina femoral de pie,isolation,/exercises/femoral-curl-femoral-de-pie.jpg,PIERNA,FEMORAL DE PIE.jpg
femoral-curl-femoral-en-polea,Curl Femoral en Polea,inferior,femoral,femoral,Polea baja,isolation,/exercises/femoral-curl-femoral-en-polea.jpg,PIERNA,FEMORAL EN POLEA.jpg
femoral-curl-femoral-sentado,Curl Femoral Sentado,inferior,femoral,femoral,Máquina femoral sentado,isolation,/exercises/femoral-curl-femoral-sentado.jpg,PIERNA,FEMORAL SENTADO.jpeg
femoral-curl-femoral-tumbado-con-mancuerna,Curl Femoral Tumbado con Mancuerna,inferior,femoral,"femoral, glúteo",Banco / mancuerna,isolation,/exercises/femoral-curl-femoral-tumbado-con-mancuerna.jpg,PIERNA,FEMORAL TUMBADO MANCUERNA.jpeg
cuadriceps-hacka-45-grados,Hacka 45 Grados,inferior,cuádriceps,"cuádriceps, glúteo",Máquina hack,legs,/exercises/cuadriceps-hacka-45-grados.jpg,PIERNA,HACKA 45#U00b0.jpeg
femoral-peso-muerto-con-barra,Peso Muerto con Barra,inferior,femoral,"femoral, glúteo, lumbar",Barra,hinge,/exercises/femoral-peso-muerto-con-barra.jpg,PIERNA,PESO MUERTO.jpg
femoral-peso-muerto-rumano-con-mancuernas,Peso Muerto Rumano con Mancuernas,inferior,femoral,"femoral, glúteo, lumbar",Mancuernas,hinge,/exercises/femoral-peso-muerto-rumano-con-mancuernas.jpg,PIERNA,PESO MUERTO.jpeg
cuadriceps-prensa-45-grados,Prensa 45 Grados,inferior,cuádriceps,"cuádriceps, glúteo, femoral",Prensa 45 grados,legs,/exercises/cuadriceps-prensa-45-grados.jpg,PIERNA,PRENSA 45#U00b0.jpeg
cuadriceps-sancadas-con-mancuernas,Sancadas con Mancuernas,inferior,cuádriceps,"cuádriceps, glúteo, femoral",Mancuernas,legs,/exercises/cuadriceps-sancadas-con-mancuernas.jpg,PIERNA,SANCADAS.jpeg
cuadriceps-sentadilla-libre,Sentadilla Libre,inferior,cuádriceps,"cuádriceps, glúteo, femoral, core",Barra,legs,/exercises/cuadriceps-sentadilla-libre.jpg,PIERNA,SENTADILLA.jpeg
triceps-copa-con-mancuerna,Copa con Mancuerna,superior,tríceps,tríceps,Mancuerna,push,/exercises/triceps-copa-con-mancuerna.jpg,TRICEPS,COPA.jpeg
triceps-extension-triceps-en-polea,Extensión Tríceps en Polea,superior,tríceps,tríceps,Polea,push,/exercises/triceps-extension-triceps-en-polea.jpg,TRICEPS,EXTENSION TRICEPS.jpeg
triceps-flexion-para-triceps,Flexión para Tríceps,superior,tríceps,"tríceps, pecho, core",Peso corporal,push,/exercises/triceps-flexion-para-triceps.jpg,TRICEPS,FLEXION PARA TRICEPS.jpg
triceps-extension-tras-nuca-en-polea,Extensión Tras Nuca en Polea,superior,tríceps,tríceps,Polea,push,/exercises/triceps-extension-tras-nuca-en-polea.jpg,TRICEPS,TRAS DE NUCA POLEA.jpg
triceps-extension-triceps-en-inclinado,Extensión Tríceps en Inclinado,superior,tríceps,tríceps,Banco inclinado / mancuernas,push,/exercises/triceps-extension-triceps-en-inclinado.jpg,TRICEPS,TRICEPS EN INCLINADO.jpg
triceps-extension-por-encima-con-barra,Extensión Por Encima con Barra,superior,tríceps,tríceps,Barra Z,push,/exercises/triceps-extension-por-encima-con-barra.jpg,TRICEPS,WhatsApp Image 2026-06-22 at 11.32.10 AM (1).jpeg
triceps-extension-por-encima-en-polea,Extensión Por Encima en Polea,superior,tríceps,tríceps,Polea,push,/exercises/triceps-extension-por-encima-en-polea.jpg,TRICEPS,WhatsApp Image 2026-06-22 at 11.32.10 AM (2).jpeg
triceps-press-frances-acostado-con-barra,Press Francés Acostado con Barra,superior,tríceps,tríceps,Banco / barra,push,/exercises/triceps-press-frances-acostado-con-barra.jpg,TRICEPS,WhatsApp Image 2026-06-22 at 11.32.10 AM (3).jpeg
triceps-jalon-de-triceps-en-polea,Jalón de Tríceps en Polea,superior,tríceps,tríceps,Polea,push,/exercises/triceps-jalon-de-triceps-en-polea.jpg,TRICEPS,WhatsApp Image 2026-06-22 at 11.32.10 AM (4).jpeg
triceps-press-cerrado-con-barra,Press Cerrado con Barra,superior,tríceps,"tríceps, pecho",Banco / barra,push,/exercises/triceps-press-cerrado-con-barra.jpg,TRICEPS,WhatsApp Image 2026-06-22 at 11.32.10 AM (5).jpeg
triceps-fondos-en-maquina,Fondos en Máquina,superior,tríceps,"tríceps, pecho",Máquina de fondos,push,/exercises/triceps-fondos-en-maquina.jpg,TRICEPS,WhatsApp Image 2026-06-22 at 11.32.10 AM.jpeg
triceps-patada-de-triceps-con-mancuerna,Patada de Tríceps con Mancuerna,superior,tríceps,tríceps,Banco / mancuerna,push,/exercises/triceps-patada-de-triceps-con-mancuerna.jpg,TRICEPS,WhatsApp Image 2026-06-22 at 11.32.11 AM (1).jpeg
triceps-extension-triceps-acostado-con-mancuernas,Extensión Tríceps Acostado con Mancuernas,superior,tríceps,tríceps,Banco / mancuernas,push,/exercises/triceps-extension-triceps-acostado-con-mancuernas.jpg,TRICEPS,WhatsApp Image 2026-06-22 at 11.32.11 AM (2).jpeg
triceps-fondos-en-banco,Fondos en Banco,superior,tríceps,"tríceps, pecho, hombro anterior",Banco,push,/exercises/triceps-fondos-en-banco.jpg,TRICEPS,WhatsApp Image 2026-06-22 at 11.32.11 AM.jpeg
